appliance_name,power_rating_watts,daily_usage_hours,star_rating,appliance_age_years,household_size,location_type,income_level,season,usage_pattern,daily_consumption_kwh,monthly_bill
Television,89,7.484739751158524,2,9,2,Urban,Low,Monsoon,Weekend,0.7074426318000014,5305.710934882728
Microwave,1035,2.0456159455990317,5,4,2,Urban,Low,Monsoon,Weekend,1.7149421279929482,5305.710934882728
Fan,102,4.409204091369956,1,10,2,Urban,Low,Monsoon,Weekday,0.5127022517444983,5305.710934882728
Lighting,80,7.063263398220387,5,3,2,Urban,Low,Monsoon,Weekend,0.44922355212681664,5305.710934882728
Water Heater,3038,5.148324785822691,4,0,2,Urban,Low,Monsoon,Weekend,12.512488559463469,5305.710934882728
Computer,134,6.393125766031013,3,9,2,Urban,Low,Monsoon,Weekday,0.8592488892061002,5305.710934882728
Refrigerator,198,15.129065836997205,5,2,6,Rural,Medium,Monsoon,Weekday,2.336532927865848,6494.511860028972
Washing Machine,514,1.3323329564166673,4,7,6,Rural,Medium,Monsoon,Weekday,0.6245550553135284,6494.511860028972
Air Conditioner,1475,4.206427955818532,5,5,6,Rural,Medium,Monsoon,Weekday,5.118697018736675,6494.511860028972
Television,118,6.022549181538671,2,0,6,Rural,Medium,Monsoon,Weekday,0.6395947230794068,6494.511860028972
Microwave,997,0.8846226107744346,1,8,6,Rural,Medium,Monsoon,Weekend,0.9719295547222065,6494.511860028972
Fan,35,6.212403881507649,5,6,6,Rural,Medium,Monsoon,Weekday,0.18264467411632493,6494.511860028972
Lighting,88,5.934719012811772,1,6,6,Rural,Medium,Monsoon,Weekday,0.5556796106075919,6494.511860028972
Water Heater,2981,6.082078423397051,5,8,6,Rural,Medium,Monsoon,Weekend,15.773687928727549,6494.511860028972
Computer,142,6.859351714828089,4,5,6,Rural,Medium,Monsoon,Weekend,0.8571445902849182,6494.511860028972
Refrigerator,245,20.81318227961966,3,6,6,Urban,High,Summer,Weekend,4.854466634898489,8750.188605031148
Washing Machine,518,0.7038627239788495,4,9,6,Urban,High,Summer,Weekday,0.34418324112386556,8750.188605031148
Air Conditioner,1549,5.729826438099712,4,10,6,Urban,High,Summer,Weekend,8.520481106511797,8750.188605031148
Television,124,1.7073147352321894,2,5,6,Urban,High,Summer,Weekend,0.20958995689710358,8750.188605031148
Microwave,989,2.0531711176151317,5,9,6,Urban,High,Summer,Weekend,1.797068818259408,8750.188605031148
Fan,102,15.056775572442413,1,4,6,Urban,High,Summer,Weekend,1.5757216772072433,8750.188605031148
Lighting,61,6.080147054150483,3,0,6,Urban,High,Summer,Weekday,0.3152556247577025,8750.188605031148
Water Heater,2962,7.093476344097467,5,8,6,Urban,High,Summer,Weekend,18.279462930158527,8750.188605031148
Computer,190,3.1651439373349275,2,2,6,Urban,High,Summer,Weekday,0.5628891978156435,8750.188605031148
Refrigerator,236,15.568914166902168,1,0,2,Rural,Low,Summer,Weekend,3.490550556219466,6810.947759219928
Washing Machine,549,0.6203641274981663,5,0,2,Rural,Low,Summer,Weekend,0.25543492949736996,6810.947759219928
Air Conditioner,1543,11.765000906274075,3,2,2,Rural,Low,Summer,Weekday,16.04760241616871,6810.947759219928
Television,123,8.30273092001414,4,2,2,Rural,Low,Summer,Weekend,0.8496682714305671,6810.947759219928
Microwave,1019,0.7924374267654205,4,7,2,Rural,Low,Summer,Weekend,0.7364342889410547,6810.947759219928
Fan,90,5.511478520764049,5,4,2,Rural,Low,Summer,Weekday,0.4017867841636992,6810.947759219928
Lighting,51,6.059636499008171,4,3,2,Rural,Low,Summer,Weekend,0.2620671593091054,6810.947759219928
Water Heater,2954,2.084640807982387,1,2,2,Rural,Low,Summer,Weekday,6.084132599418612,6810.947759219928
Computer,189,1.4482368595238924,2,1,2,Rural,Low,Summer,Weekend,0.25127199160111435,6810.947759219928
Refrigerator,233,16.95585052273543,4,7,5,Urban,Medium,Summer,Weekend,3.603050412679189,5987.07045134352
Washing Machine,483,0.40246708195993547,3,6,5,Urban,Medium,Summer,Weekday,0.1850608037584897,5987.07045134352
Air Conditioner,1469,3.955806064917127,3,3,5,Urban,Medium,Summer,Weekend,5.235782277536297,5987.07045134352
Television,76,1.7330865103640314,4,7,5,Urban,Medium,Summer,Weekday,0.12012369220635176,5987.07045134352
Microwave,1008,0.35985913897023525,1,8,5,Urban,Medium,Summer,Weekday,0.39973728931436076,5987.07045134352
Fan,126,24.200009406238685,2,0,5,Urban,Medium,Summer,Weekend,2.744281066667467,5987.07045134352
Lighting,24,1.7391850309208787,4,10,5,Urban,Medium,Summer,Weekday,0.040070823112417046,5987.07045134352
Water Heater,3021,4.9282703605599165,4,0,5,Urban,Medium,Summer,Weekend,11.910643807401208,5987.07045134352
Computer,196,4.082652529793952,3,2,5,Urban,Medium,Summer,Weekend,0.7073767079222194,5987.07045134352
Refrigerator,164,9.819878550183047,2,10,3,Urban,High,Winter,Weekday,1.7392968888084213,4216.167650410763
Washing Machine,527,0.6479042108762323,5,4,3,Urban,High,Winter,Weekday,0.27657087049673734,4216.167650410763
Air Conditioner,1499,2.002002984411948,2,2,3,Urban,High,Winter,Weekday,2.8089383153209657,4216.167650410763
Television,110,5.753971030216541,3,6,3,Urban,High,Winter,Weekday,0.6025558462842763,4216.167650410763
Microwave,999,2.240057506297216,1,6,3,Urban,High,Winter,Weekend,2.3810377655135375,4216.167650410763
Fan,103,3.419880290510915,4,7,3,Urban,High,Winter,Weekday,0.3212498749694333,4216.167650410763
Lighting,60,4.579286051166282,1,10,3,Urban,High,Winter,Weekend,0.3132231658997736,4216.167650410763
Water Heater,3014,2.905335340446987,4,10,3,Urban,High,Winter,Weekend,8.40641348746293,4216.167650410763
Computer,167,4.507205684786209,2,3,3,Urban,High,Winter,Weekend,0.7180789952887693,4216.167650410763
Refrigerator,241,17.83048740519981,3,2,3,Urban,Medium,Winter,Weekend,3.7986783587533886,8896.666489580324
Washing Machine,472,0.9242462930316612,5,3,3,Urban,Medium,Winter,Weekday,0.3468141789972005,8896.666489580324
Air Conditioner,1527,4.987691356224099,3,6,3,Urban,Medium,Winter,Weekday,7.250626875308398,8896.666489580324
Television,114,4.254507752681629,4,6,3,Urban,Medium,Winter,Weekday,0.43457243988991245,8896.666489580324
Microwave,1045,0.3206895945401323,1,5,3,Urban,Medium,Winter,Weekday,0.35020105447768796,8896.666489580324
Fan,55,5.121734143875907,5,0,3,Urban,Medium,Winter,Weekend,0.21127153343488117,8896.666489580324
Lighting,25,4.59059156737936,5,0,3,Urban,Medium,Winter,Weekend,0.08607359188836301,8896.666489580324
Water Heater,2950,8.834888535315663,3,4,3,Urban,Medium,Winter,Weekday,23.925761642488354,8896.666489580324
Computer,125,6.337562203300042,5,6,3,Urban,Medium,Winter,Weekday,0.6654440313465044,8896.666489580324
Refrigerator,207,12.660214606713895,1,0,1,Urban,Medium,Winter,Weekend,2.4896312024102873,9626.480539702348
Washing Machine,463,1.4916072805862253,4,5,1,Urban,Medium,Winter,Weekday,0.6077404704020517,9626.480539702348
Air Conditioner,1452,6.7822280652790585,5,2,1,Urban,Medium,Winter,Weekend,7.68128021761245,9626.480539702348
Television,78,4.263423463677661,3,3,1,Urban,Medium,Winter,Weekend,0.2996248741803387,9626.480539702348
Microwave,953,0.6573234824674964,3,2,1,Urban,Medium,Winter,Weekday,0.5537634824517073,9626.480539702348
Fan,117,3.320824368188173,3,0,1,Urban,Medium,Winter,Weekday,0.3302559834163138,9626.480539702348
Lighting,51,3.413738744340308,5,5,1,Urban,Medium,Winter,Weekend,0.14363305766811846,9626.480539702348
Water Heater,3048,10.456324889118626,4,3,1,Urban,Medium,Winter,Weekday,27.026504766204475,9626.480539702348
Computer,182,5.740475766338968,2,2,1,Urban,Medium,Winter,Weekday,0.9779015277473759,9626.480539702348
Refrigerator,198,15.548307668258063,1,9,6,Urban,High,Summer,Weekday,3.4510712734312228,9476.67554104829
Washing Machine,539,1.1961021358970332,1,2,6,Urban,High,Summer,Weekday,0.636962662633519,9476.67554104829
Air Conditioner,1486,6.843642148368192,1,8,6,Urban,High,Summer,Weekday,11.206956760187596,9476.67554104829
Television,104,5.845001498097919,3,8,6,Urban,High,Summer,Weekday,0.599369833620953,9476.67554104829
Microwave,1028,0.8592361573133411,4,10,6,Urban,High,Summer,Weekend,0.8479629789293902,9476.67554104829
Fan,112,11.711272212282335,2,0,6,Urban,High,Summer,Weekday,1.1804962389980593,9476.67554104829
Lighting,85,2.926165849915405,5,5,6,Urban,High,Summer,Weekend,0.20519738022531778,9476.67554104829
Water Heater,2954,8.048210724974776,4,5,6,Urban,High,Summer,Weekend,20.921484743786433,9476.67554104829
Computer,150,2.6953470116586953,2,10,6,Urban,High,Summer,Weekend,0.4366462158887086,9476.67554104829
Refrigerator,216,10.264914175906434,2,0,5,Urban,Low,Winter,Weekday,1.9954993157962106,9736.919591988659
Washing Machine,456,0.5889325089923056,3,1,5,Urban,Low,Winter,Weekday,0.23283564529512601,9736.919591988659
Air Conditioner,1547,9.84590960811403,3,0,5,Urban,Low,Winter,Weekend,12.94687883918954,9736.919591988659
Television,92,10.194505995231477,3,9,5,Urban,Low,Winter,Weekend,0.9407082352159797,9736.919591988659
Microwave,1010,0.3622104966401257,5,5,5,Urban,Low,Winter,Weekday,0.3018118963253848,9736.919591988659
Fan,121,4.565799229927868,3,9,5,Urban,Low,Winter,Weekday,0.5541190919417358,9736.919591988659
Lighting,91,6.7908978870365315,5,8,5,Urban,Low,Winter,Weekend,0.5376353857166822,9736.919591988659
Water Heater,3028,7.696812270355517,2,4,5,Urban,Low,Winter,Weekend,22.653381023106686,9736.919591988659
Computer,151,2.5832812659805593,1,5,5,Urban,Low,Winter,Weekday,0.4076288673654024,9736.919591988659
Refrigerator,171,17.02060484879839,1,9,5,Urban,High,Summer,Weekend,3.262696764071012,7351.451928341347
Washing Machine,529,1.3969927107858007,2,4,5,Urban,High,Summer,Weekend,0.7183168879735293,7351.451928341347
Air Conditioner,1540,5.2228221166845445,2,4,5,Urban,High,Summer,Weekend,7.817937970022761,7351.451928341347
Television,57,7.470098501031169,3,0,5,Urban,High,Summer,Weekend,0.3619262723749601,7351.451928341347
Microwave,1029,1.4657366432703287,3,8,5,Urban,High,Summer,Weekday,1.4871276038422157,7351.451928341347
Fan,80,17.76682924965837,3,0,5,Urban,High,Summer,Weekend,1.2081443889767693,7351.451928341347
Lighting,83,6.27719981300362,2,8,5,Urban,High,Summer,Weekend,0.5439319181963898,7351.451928341347
Water Heater,3038,5.583333989760144,5,9,5,Urban,High,Summer,Weekday,15.011519264888813,7351.451928341347
Computer,109,2.287829765177562,4,5,5,Urban,High,Summer,Weekday,0.2194486310758318,7351.451928341347
Refrigerator,197,11.831072700648926,1,1,2,Rural,Medium,Monsoon,Weekend,2.2584689610449757,7957.191243155429
Washing Machine,520,0.5612549813661023,3,6,2,Rural,Medium,Monsoon,Weekend,0.27784366597547533,7957.191243155429
Air Conditioner,1540,7.510740554277469,2,3,2,Rural,Medium,Monsoon,Weekend,11.034479592722288,7957.191243155429
Television,51,7.4057712489788505,1,1,2,Rural,Medium,Monsoon,Weekend,0.36598580935328573,7957.191243155429
Microwave,1028,0.4944554603347226,5,6,2,Rural,Medium,Monsoon,Weekday,0.42697217910823965,7957.191243155429
Fan,102,4.115475784736998,1,2,2,Rural,Medium,Monsoon,Weekday,0.41474118768265567,7957.191243155429
Lighting,16,2.4835193828815716,5,3,2,Rural,Medium,Monsoon,Weekend,0.03159036655025359,7957.191243155429
Water Heater,2954,6.454216902417347,3,6,2,Rural,Medium,Monsoon,Weekday,18.150600406713284,7957.191243155429
Computer,133,1.5912439923105557,3,4,2,Rural,Medium,Monsoon,Weekday,0.194281343997165,7957.191243155429
Refrigerator,240,10.073370853224912,5,0,4,Urban,High,Monsoon,Weekday,1.8132067535804839,3490.380853729595
Washing Machine,517,1.5568218219637977,1,8,4,Urban,High,Monsoon,Weekday,0.8869743239147223,3490.380853729595
Air Conditioner,1462,3.272154876362283,2,9,4,Urban,High,Monsoon,Weekend,5.08049163585464,3490.380853729595
Television,71,4.387814370644878,5,5,4,Urban,High,Monsoon,Weekend,0.2570162267605237,3490.380853729595
Microwave,977,0.9617923882670072,4,3,4,Urban,High,Monsoon,Weekend,0.7968411465096624,3490.380853729595
Fan,83,2.3297158028493254,1,8,4,Urban,High,Monsoon,Weekend,0.21308978562341638,3490.380853729595
Lighting,47,6.0671787692897805,5,10,4,Urban,High,Monsoon,Weekday,0.25664166194095767,3490.380853729595
Water Heater,2954,2.0092969878213354,5,7,4,Urban,High,Monsoon,Weekday,5.074821123230713,3490.380853729595
Computer,116,1.780209279890761,5,3,4,Urban,High,Monsoon,Weekend,0.164170899791526,3490.380853729595
Refrigerator,218,14.260924332036298,4,3,2,Rural,Medium,Summer,Weekend,2.6363315157175586,5653.962618375972
Washing Machine,531,0.6187074052872686,1,7,2,Rural,Medium,Summer,Weekend,0.35580192368076546,5653.962618375972
Air Conditioner,1456,5.785881503179597,2,9,2,Rural,Medium,Summer,Weekday,8.946546563684521,5653.962618375972
Television,132,1.9560296264689172,4,5,2,Rural,Medium,Summer,Weekend,0.22721240141062946,5653.962618375972
Microwave,1012,0.627708194268453,1,2,2,Rural,Medium,Summer,Weekend,0.6276178042884785,5653.962618375972
Fan,71,4.373466020180521,4,6,2,Rural,Medium,Summer,Weekend,0.278222414339804,5653.962618375972
Lighting,44,5.176561270734966,1,0,2,Rural,Medium,Summer,Weekend,0.21638026111672157,5653.962618375972
Water Heater,3041,3.7322626954258444,3,0,2,Rural,Medium,Summer,Weekday,9.647339228271495,5653.962618375972
Computer,159,3.8172635015176226,2,7,2,Rural,Medium,Summer,Weekday,0.622725464056576,5653.962618375972
Refrigerator,187,15.252462080175803,3,7,1,Rural,Medium,Monsoon,Weekend,2.7637918863140962,5205.423953770364
Washing Machine,545,0.7669120865151849,2,10,1,Rural,Medium,Monsoon,Weekend,0.4514044541228379,5205.423953770364
Air Conditioner,1468,3.0375861550160805,5,1,1,Rural,Medium,Monsoon,Weekday,3.4112700038061594,5205.423953770364
Television,121,3.72503656074019,1,6,1,Rural,Medium,Monsoon,Weekday,0.47957610697593506,5205.423953770364
Microwave,1014,1.065943513660679,5,3,1,Rural,Medium,Monsoon,Weekend,0.8592890446672832,5205.423953770364
Fan,104,7.181076674232313,5,1,1,Rural,Medium,Monsoon,Weekend,0.5713264602019228,5205.423953770364
Lighting,60,4.224130951660291,1,10,1,Rural,Medium,Monsoon,Weekend,0.2889305570935638,5205.423953770364
Water Heater,3022,4.507683260283502,4,7,1,Rural,Medium,Monsoon,Weekday,12.423463557069994,5205.423953770364
Computer,104,5.039084292483869,5,6,1,Rural,Medium,Monsoon,Weekday,0.4402144037913908,5205.423953770364
Refrigerator,197,12.966146017646304,4,8,2,Rural,High,Winter,Weekend,2.3704189503620268,7580.918494614948
Washing Machine,450,0.9939178354606911,2,4,2,Rural,High,Winter,Weekend,0.43473966123050634,7580.918494614948
Air Conditioner,1474,8.461155099058157,3,2,2,Rural,High,Winter,Weekend,11.025020472554361,7580.918494614948
Television,119,1.2235228979958517,2,0,2,Rural,High,Winter,Weekday,0.13103930237535572,7580.918494614948
Microwave,993,1.7815477513942222,3,6,2,Rural,High,Winter,Weekend,1.6841612251120086,7580.918494614948
Fan,73,6.126059494433176,2,9,2,Rural,High,Winter,Weekday,0.47492888836542635,7580.918494614948
Lighting,82,3.7466566697155637,1,3,2,Rural,High,Winter,Weekday,0.309376427845093,7580.918494614948
Water Heater,3018,6.04303500071555,5,4,2,Rural,High,Winter,Weekend,14.77268250204922,7580.918494614948
Computer,101,4.233145922276702,5,10,2,Rural,High,Winter,Weekday,0.3847929643349522,7580.918494614948
Refrigerator,195,10.943420438907715,1,7,2,Urban,Low,Monsoon,Weekday,2.311086245390726,6169.807201276671
Washing Machine,532,0.7733151381372634,3,10,2,Urban,Low,Monsoon,Weekday,0.4196317265588046,6169.807201276671
Air Conditioner,1488,7.859703381393534,4,3,2,Urban,Low,Monsoon,Weekend,9.917562359523517,6169.807201276671
Television,103,3.7864979602051516,4,4,2,Urban,Low,Monsoon,Weekend,0.3369680264745769,6169.807201276671
Microwave,1035,1.1080973206021685,3,10,2,Urban,Low,Monsoon,Weekend,1.1698183413597092,6169.807201276671
Fan,64,1.9511465728153492,3,10,2,Urban,Low,Monsoon,Weekday,0.127370848273386,6169.807201276671
Lighting,46,4.562945752207551,5,1,2,Urban,Low,Monsoon,Weekday,0.16057006102018373,6169.807201276671
Water Heater,2962,3.9241078783768377,4,6,2,Urban,Low,Monsoon,Weekday,10.414393952033967,6169.807201276671
Computer,175,5.113554554493789,1,0,2,Urban,Low,Monsoon,Weekday,0.8501284446845924,6169.807201276671
Refrigerator,215,18.419800120002673,3,8,6,Rural,Low,Summer,Weekend,3.9048134274393664,11071.91620668813
Washing Machine,523,1.3400389548931566,4,2,6,Rural,Low,Summer,Weekday,0.5830991906763887,11071.91620668813
Air Conditioner,1488,16.989884211263988,3,1,6,Rural,Low,Summer,Weekend,21.918581661414827,11071.91620668813
Television,68,5.267888621859434,2,7,6,Rural,Low,Summer,Weekend,0.36753005336988914,11071.91620668813
Microwave,999,0.38111144249084533,5,6,6,Rural,Low,Summer,Weekday,0.3198134780806178,11071.91620668813
Fan,58,13.675630839065827,3,2,6,Rural,Low,Summer,Weekend,0.7011769443805831,11071.91620668813
Lighting,53,3.5991489397516077,4,4,6,Rural,Low,Summer,Weekday,0.16481222824910563,11071.91620668813
Water Heater,2960,7.842474120826637,5,0,6,Rural,Low,Summer,Weekend,17.410292548235134,11071.91620668813
Computer,174,5.8457062274939675,5,0,6,Rural,Low,Summer,Weekend,0.7628646626879627,11071.91620668813
Refrigerator,161,12.741875677782312,2,3,3,Urban,Low,Winter,Weekday,1.9570756528532969,5891.619524586386
Washing Machine,456,1.211599014453329,3,8,3,Urban,Low,Winter,Weekday,0.544754302482448,5891.619524586386
Air Conditioner,1510,3.6222085133757744,1,8,3,Urban,Low,Winter,Weekday,6.027427410427555,5891.619524586386
Television,105,4.739461059470175,4,7,3,Urban,Low,Winter,Weekday,0.45385079105486403,5891.619524586386
Microwave,991,1.4697844243315201,3,4,3,Urban,Low,Winter,Weekday,1.3371187426225084,5891.619524586386
Fan,45,6.177038864416374,5,5,3,Urban,Low,Winter,Weekday,0.22932256784145788,5891.619524586386
Lighting,23,4.637499995181712,3,4,3,Urban,Low,Winter,Weekday,0.09791617489826668,5891.619524586386
Water Heater,2978,4.621787692439207,4,9,3,Urban,Low,Winter,Weekend,12.992917458191256,5891.619524586386
Computer,162,5.784451231414302,1,1,3,Urban,Low,Winter,Weekend,0.9080315854049542,5891.619524586386
Refrigerator,173,13.986852188799196,3,0,5,Rural,High,Monsoon,Weekend,2.0567666143629215,6351.87433761598
Washing Machine,544,1.6136908262604348,4,2,5,Rural,High,Monsoon,Weekend,0.7303693774920831,6351.87433761598
Air Conditioner,1464,4.179096987845233,5,3,5,Rural,High,Monsoon,Weekday,4.8639674022133095,6351.87433761598
Television,65,5.311211102572584,4,3,5,Rural,High,Monsoon,Weekend,0.29275395597380094,6351.87433761598
Microwave,986,1.6312460632528591,1,4,5,Rural,High,Monsoon,Weekday,1.6502272424448694,6351.87433761598
Fan,122,1.590190918274292,3,0,5,Rural,High,Monsoon,Weekday,0.16490279822504408,6351.87433761598
Lighting,62,5.1556347134233,1,2,5,Rural,High,Monsoon,Weekday,0.3158135600054576,6351.87433761598
Water Heater,2995,5.9229754637764875,3,2,5,Rural,High,Monsoon,Weekday,15.681551378385354,6351.87433761598
Computer,148,5.352548445773059,4,6,5,Rural,High,Monsoon,Weekend,0.7097907442970739,6351.87433761598
Refrigerator,192,13.772150266303282,3,1,5,Rural,Medium,Summer,Weekday,2.2925672219299096,5049.138213737128
Washing Machine,454,1.4915010944199905,2,5,5,Rural,Medium,Summer,Weekday,0.670370081898009,5049.138213737128
Air Conditioner,1489,5.765878452624407,3,5,5,Rural,Medium,Summer,Weekday,8.027342469920491,5049.138213737128
Television,88,1.2594435680230474,1,3,5,Rural,Medium,Summer,Weekday,0.11160685122393035,5049.138213737128
Microwave,1020,1.4177335829319655,5,1,5,Rural,Medium,Summer,Weekday,1.1062575147618128,5049.138213737128
Fan,106,5.348132036736357,2,10,5,Rural,Medium,Summer,Weekday,0.612254155565578,5049.138213737128
Lighting,97,5.74967217509206,1,1,5,Rural,Medium,Summer,Weekday,0.5404289367534281,5049.138213737128
Water Heater,2992,2.2807805752857577,1,7,5,Rural,Medium,Summer,Weekend,7.390495406199151,5049.138213737128
Computer,165,1.6364392645041168,2,9,5,Rural,Medium,Summer,Weekend,0.2867532523190564,5049.138213737128
Refrigerator,162,10.916302263062155,2,1,2,Urban,High,Winter,Weekday,1.6234288073535514,6361.016269613826
Washing Machine,516,1.8804276942352183,4,9,2,Urban,High,Winter,Weekend,0.9159638515727518,6361.016269613826
Air Conditioner,1496,6.294652346274488,1,0,2,Urban,High,Winter,Weekend,8.945959914525302,6361.016269613826
Television,104,3.0736176189832842,5,2,2,Urban,High,Winter,Weekend,0.24933186125192403,6361.016269613826
Microwave,957,1.5443062342981426,5,7,2,Urban,High,Winter,Weekend,1.2636054116209408,6361.016269613826
Fan,83,2.7487894618704045,4,0,2,Urban,High,Winter,Weekend,0.18251962026819488,6361.016269613826
Lighting,70,9.037465169890526,4,3,2,Urban,High,Winter,Weekend,0.5364639324847017,6361.016269613826
Water Heater,3041,4.480254200475781,3,3,2,Urban,High,Winter,Weekend,12.275632174305814,6361.016269613826
Computer,166,4.026528729357357,5,1,2,Urban,High,Winter,Weekday,0.5113288833410907,6361.016269613826
Refrigerator,181,12.105038399903819,1,4,5,Rural,Low,Winter,Weekday,2.2479782610925385,5455.919144136072
Washing Machine,527,0.3339156611715215,3,9,5,Rural,Low,Winter,Weekend,0.17650147409770398,5455.919144136072
Air Conditioner,1522,7.008912463008193,4,2,5,Rural,Low,Winter,Weekday,8.875413887557128,5455.919144136072
Television,57,9.92364351244881,1,3,5,Rural,Low,Winter,Weekend,0.5696072139710493,5455.919144136072
Microwave,980,1.4956454099371048,4,8,5,Rural,Low,Winter,Weekend,1.3601997616132004,5455.919144136072
Fan,129,8.733871931766759,1,10,5,Rural,Low,Winter,Weekend,1.2844032062856194,5455.919144136072
Lighting,65,4.531911089435326,4,10,5,Rural,Low,Winter,Weekend,0.2827912519807643,5455.919144136072
Water Heater,2967,2.9801077388529884,5,6,5,Rural,Low,Winter,Weekend,7.4272629153885275,5455.919144136072
Computer,111,5.179808234476201,5,9,5,Rural,Low,Winter,Weekend,0.5088384619137696,5455.919144136072
Refrigerator,215,12.931241301422997,1,2,6,Rural,High,Winter,Weekend,2.7468542772482727,9241.641071505119
Washing Machine,451,0.9576531792807443,4,2,6,Rural,High,Winter,Weekend,0.35934211776787234,9241.641071505119
Air Conditioner,1484,4.903768819484662,2,0,6,Rural,High,Winter,Weekend,6.549473635303714,9241.641071505119
Television,58,7.693223137844394,2,5,6,Rural,High,Winter,Weekday,0.4417448725750252,9241.641071505119
Microwave,1027,1.4058694205370925,4,1,6,Rural,High,Winter,Weekend,1.1781635622315407,9241.641071505119
Fan,75,8.042207058819752,1,6,6,Rural,High,Winter,Weekend,0.6417681232938162,9241.641071505119
Lighting,10,3.642035251447709,2,9,6,Rural,High,Winter,Weekend,0.03867841437037467,9241.641071505119
Water Heater,2996,10.236273282818251,5,7,6,Rural,High,Winter,Weekday,26.22103291580158,9241.641071505119
Computer,165,2.117230863801982,4,9,6,Rural,High,Winter,Weekday,0.3297798793457967,9241.641071505119
Refrigerator,199,14.98490528742957,5,7,2,Rural,High,Winter,Weekend,2.5496067101297046,5699.6128606304155
Washing Machine,460,1.1463553584706558,5,4,2,Rural,High,Winter,Weekend,0.4271320065661664,5699.6128606304155
Air Conditioner,1526,1.5824400195140331,2,7,2,Rural,High,Winter,Weekend,2.477588359992654,5699.6128606304155
Television,77,3.752900476977013,4,1,2,Rural,High,Winter,Weekday,0.2358022427694197,5699.6128606304155
Microwave,978,1.078445921162141,1,2,2,Rural,High,Winter,Weekend,1.042063469565815,5699.6128606304155
Fan,37,7.870284393214945,5,0,2,Rural,High,Winter,Weekend,0.21840039191171473,5699.6128606304155
Lighting,66,2.539507829603178,3,8,2,Rural,High,Winter,Weekday,0.16526101151925643,5699.6128606304155
Water Heater,3019,6.456680298841599,4,2,2,Rural,High,Winter,Weekend,16.21794122807272,5699.6128606304155
Computer,107,5.166249205806183,5,0,2,Rural,High,Winter,Weekend,0.41459149876594614,5699.6128606304155
Refrigerator,228,12.86547960295812,1,2,3,Rural,Medium,Monsoon,Weekday,2.898129397280758,6895.619530143798
Washing Machine,457,1.2055907364682161,4,1,3,Rural,Medium,Monsoon,Weekday,0.44957925271783544,6895.619530143798
Air Conditioner,1490,4.926207299302572,1,4,3,Rural,Medium,Monsoon,Weekday,7.530890146735814,6895.619530143798
Television,106,4.916670078820591,5,8,3,Rural,Medium,Monsoon,Weekday,0.4534153146688349,6895.619530143798
Microwave,1002,1.3534853591903486,4,8,3,Rural,Medium,Monsoon,Weekday,1.2585464821553007,6895.619530143798
Fan,129,6.372694087611585,5,5,3,Rural,Medium,Monsoon,Weekday,0.6782139682740629,6895.619530143798
Lighting,56,3.054710464620386,2,0,3,Rural,Medium,Monsoon,Weekday,0.15395740741686748,6895.619530143798
Water Heater,2950,5.407843371265396,3,4,3,Rural,Medium,Monsoon,Weekday,14.64498063372382,6895.619530143798
Computer,161,4.522416362186265,4,7,3,Rural,Medium,Monsoon,Weekend,0.6640354392925337,6895.619530143798
Refrigerator,187,12.306389750210041,5,2,6,Urban,Low,Summer,Weekday,1.7950100089656367,8813.09766738631
Washing Machine,514,1.7694941233941675,1,8,6,Urban,Low,Summer,Weekday,1.0022910173259114,8813.09766738631
Air Conditioner,1544,10.395767605754695,2,8,6,Urban,Low,Summer,Weekend,16.7573120513498,8813.09766738631
Television,105,3.8155089911443256,2,2,6,Urban,Low,Summer,Weekend,0.37498822364966433,8813.09766738631
Microwave,961,0.42690646563381013,3,7,6,Urban,Low,Summer,Weekday,0.3975391429563947,8813.09766738631
Fan,118,3.397196463904124,4,9,6,Urban,Low,Summer,Weekday,0.37842050850720815,8813.09766738631
Lighting,30,2.1890339657091697,5,2,6,Urban,Low,Summer,Weekend,0.051223394797594565,8813.09766738631
Water Heater,3047,5.088740752993706,2,6,6,Urban,Low,Summer,Weekend,15.6294362189668,8813.09766738631
Computer,149,2.584430411612123,5,8,6,Urban,Low,Summer,Weekday,0.33501971425727944,8813.09766738631
Refrigerator,217,13.680355310229793,1,10,5,Rural,High,Winter,Weekday,3.3842462966446454,11576.337354378817
Washing Machine,542,0.8700234194738037,1,2,5,Rural,High,Winter,Weekday,0.46589406103454406,11576.337354378817
Air Conditioner,1459,1.8093825162672657,3,1,5,Rural,High,Winter,Weekday,2.2887838420998263,11576.337354378817
Television,76,9.323478776457987,2,3,5,Rural,High,Winter,Weekend,0.67598950520831,11576.337354378817
Microwave,1010,1.0279914222529662,1,10,5,Rural,High,Winter,Weekday,1.1836293235820652,11576.337354378817
Fan,116,1.255425974742896,1,2,5,Rural,High,Winter,Weekday,0.14388186011333381,11576.337354378817
Lighting,97,4.943672834743475,2,7,5,Rural,High,Winter,Weekend,0.4920042078593402,11576.337354378817
Water Heater,3026,12.72073704870556,2,6,5,Rural,High,Winter,Weekend,38.80089391185809,11576.337354378817
Computer,154,5.40730497956069,4,10,5,Rural,High,Winter,Weekday,0.7994159681782524,11576.337354378817
Refrigerator,243,12.23635093841409,5,3,3,Rural,High,Winter,Weekday,2.3638794560375262,14576.06306308164
Washing Machine,472,1.0328800274073973,3,10,3,Rural,High,Winter,Weekday,0.4972697603950173,14576.06306308164
